Model,PL_Rate,audio,target
FRN,0.5,/home/shua/home/Shua/recipies/ASR_denoiser/samples/FRN/0.5/ALL_005_M_CMN_ENG_HT1_S008_LVL70_SNRn4.wav,She's drinking from her own cup
tPLCnet,0.5,/home/shua/home/Shua/recipies/ASR_denoiser/samples/tPLCnet/0.5/ALL_005_M_CMN_ENG_HT1_S008_LVL70_SNRn4.wav,She's drinking from her own cup
Ours,0.5,/home/shua/home/Shua/recipies/ASR_denoiser/samples/Ours/0.5/ALL_005_M_CMN_ENG_HT1_S008_LVL70_SNRn4.wav,She's drinking from her own cup
Ours_GL,0.5,/home/shua/home/Shua/recipies/ASR_denoiser/samples/Ours_GL/0.5/ALL_005_M_CMN_ENG_HT1_S008_LVL70_SNRn4.wav,She's drinking from her own cup
Original,0.5,/home/shua/home/Shua/recipies/ASR_denoiser/samples/Original/0.5/ALL_005_M_CMN_ENG_HT1_S008_LVL70_SNRn4.wav,She's drinking from her own cup
FRN,0.6,/home/shua/home/Shua/recipies/ASR_denoiser/samples/FRN/0.6/ALL_005_M_CMN_ENG_HT1_S008_LVL70_SNRn4.wav,She's drinking from her own cup
tPLCnet,0.6,/home/shua/home/Shua/recipies/ASR_denoiser/samples/tPLCnet/0.6/ALL_005_M_CMN_ENG_HT1_S008_LVL70_SNRn4.wav,She's drinking from her own cup
Ours,0.6,/home/shua/home/Shua/recipies/ASR_denoiser/samples/Ours/0.6/ALL_005_M_CMN_ENG_HT1_S008_LVL70_SNRn4.wav,She's drinking from her own cup
Ours_GL,0.6,/home/shua/home/Shua/recipies/ASR_denoiser/samples/Ours_GL/0.6/ALL_005_M_CMN_ENG_HT1_S008_LVL70_SNRn4.wav,She's drinking from her own cup
Original,0.6,/home/shua/home/Shua/recipies/ASR_denoiser/samples/Original/0.6/ALL_005_M_CMN_ENG_HT1_S008_LVL70_SNRn4.wav,She's drinking from her own cup
FRN,0.7,/home/shua/home/Shua/recipies/ASR_denoiser/samples/FRN/0.7/ALL_005_M_CMN_ENG_HT1_S008_LVL70_SNRn4.wav,She's drinking from her own cup
tPLCnet,0.7,/home/shua/home/Shua/recipies/ASR_denoiser/samples/tPLCnet/0.7/ALL_005_M_CMN_ENG_HT1_S008_LVL70_SNRn4.wav,She's drinking from her own cup
Ours,0.7,/home/shua/home/Shua/recipies/ASR_denoiser/samples/Ours/0.7/ALL_005_M_CMN_ENG_HT1_S008_LVL70_SNRn4.wav,She's drinking from her own cup
Ours_GL,0.7,/home/shua/home/Shua/recipies/ASR_denoiser/samples/Ours_GL/0.7/ALL_005_M_CMN_ENG_HT1_S008_LVL70_SNRn4.wav,She's drinking from her own cup
Original,0.7,/home/shua/home/Shua/recipies/ASR_denoiser/samples/Original/0.7/ALL_005_M_CMN_ENG_HT1_S008_LVL70_SNRn4.wav,She's drinking from her own cup
FRN,0.8,/home/shua/home/Shua/recipies/ASR_denoiser/samples/FRN/0.8/ALL_005_M_CMN_ENG_HT1_S008_LVL70_SNRn4.wav,She's drinking from her own cup
tPLCnet,0.8,/home/shua/home/Shua/recipies/ASR_denoiser/samples/tPLCnet/0.8/ALL_005_M_CMN_ENG_HT1_S008_LVL70_SNRn4.wav,She's drinking from her own cup
Ours,0.8,/home/shua/home/Shua/recipies/ASR_denoiser/samples/Ours/0.8/ALL_005_M_CMN_ENG_HT1_S008_LVL70_SNRn4.wav,She's drinking from her own cup
Ours_GL,0.8,/home/shua/home/Shua/recipies/ASR_denoiser/samples/Ours_GL/0.8/ALL_005_M_CMN_ENG_HT1_S008_LVL70_SNRn4.wav,She's drinking from her own cup
Original,0.8,/home/shua/home/Shua/recipies/ASR_denoiser/samples/Original/0.8/ALL_005_M_CMN_ENG_HT1_S008_LVL70_SNRn4.wav,She's drinking from her own cup
FRN,0.9,/home/shua/home/Shua/recipies/ASR_denoiser/samples/FRN/0.9/ALL_005_M_CMN_ENG_HT1_S008_LVL70_SNRn4.wav,She's drinking from her own cup
tPLCnet,0.9,/home/shua/home/Shua/recipies/ASR_denoiser/samples/tPLCnet/0.9/ALL_005_M_CMN_ENG_HT1_S008_LVL70_SNRn4.wav,She's drinking from her own cup
Ours,0.9,/home/shua/home/Shua/recipies/ASR_denoiser/samples/Ours/0.9/ALL_005_M_CMN_ENG_HT1_S008_LVL70_SNRn4.wav,She's drinking from her own cup
Ours_GL,0.9,/home/shua/home/Shua/recipies/ASR_denoiser/samples/Ours_GL/0.9/ALL_005_M_CMN_ENG_HT1_S008_LVL70_SNRn4.wav,She's drinking from her own cup
Original,0.9,/home/shua/home/Shua/recipies/ASR_denoiser/samples/Original/0.9/ALL_005_M_CMN_ENG_HT1_S008_LVL70_SNRn4.wav,She's drinking from her own cup
